task,comparison,left_method,right_method,split_seed,initial_demo_id,left_success_mean,right_success_mean,paired_delta,left_rollouts,right_rollouts
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1373,1.000,1.000,0.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1383,0.000,0.000,0.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1418,1.000,0.000,1.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1420,1.000,1.000,0.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1438,1.000,1.000,0.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1444,1.000,1.000,0.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1459,0.000,0.000,0.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1478,1.000,1.000,0.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_365,0.500,0.500,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_541,1.000,0.000,1.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1032,0.500,0.500,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1087,1.000,0.500,0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1116,1.000,1.000,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1140,0.500,1.000,-0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1199,1.000,1.000,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1206,0.500,0.000,0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1208,1.000,0.500,0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1224,0.500,0.500,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1239,0.500,0.000,0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1243,1.000,0.500,0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1251,0.500,0.500,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1252,0.000,0.000,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1271,1.000,1.000,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1291,0.500,0.500,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1295,1.000,0.000,1.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1316,0.500,0.500,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1321,0.500,0.000,0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1368,1.000,0.000,1.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1369,1.000,0.500,0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1378,1.000,0.000,1.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1389,1.000,0.000,1.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1423,0.000,0.000,0.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1424,0.000,0.000,0.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1440,1.000,1.000,0.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1455,1.000,0.000,1.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1466,1.000,1.000,0.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1477,1.000,0.000,1.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1481,1.000,1.000,0.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_1500,1.000,1.000,0.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,33,demo_956,0.500,0.500,0.000,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1019,1.000,1.000,0.000,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1022,1.000,0.000,1.000,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1024,1.000,1.000,0.000,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1102,1.000,1.000,0.000,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1127,0.000,0.500,-0.500,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1160,0.500,0.500,0.000,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1202,0.500,0.500,0.000,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1208,1.000,0.000,1.000,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1216,0.000,0.500,-0.500,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1229,1.000,0.500,0.500,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1231,0.000,0.000,0.000,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1254,1.000,0.000,1.000,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1265,0.500,0.000,0.500,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1290,0.000,0.000,0.000,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1300,0.500,0.500,0.000,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1305,0.000,0.500,-0.500,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1325,0.500,0.000,0.500,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1330,0.000,0.000,0.000,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1352,0.500,1.000,-0.500,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1358,1.000,1.000,0.000,1,1
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1360,0.000,1.000,-1.000,1,1
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1378,0.000,0.000,0.000,1,1
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1383,0.000,1.000,-1.000,1,1
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1395,0.000,0.000,0.000,1,1
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1422,0.000,0.000,0.000,1,1
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1429,1.000,0.000,1.000,1,1
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1443,0.000,1.000,-1.000,1,1
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1458,0.000,1.000,-1.000,1,1
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_1470,1.000,1.000,0.000,1,1
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,11,demo_901,0.500,1.000,-0.500,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,22,demo_1023,1.000,1.000,0.000,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,22,demo_1102,1.000,0.500,0.500,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,22,demo_1112,1.000,1.000,0.000,2,2
Lift MG,weighted BC - positive-only NN,weighted BC,positive-only NN,22,demo_1128,1.000,0.000,1.000,2,2
