setting_id,setting_label,row_role,split_seed,candidate_id,candidate_family,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive,total_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,classifier_score_mean,pos_state_distance,action_conflict_distance,pos_state_action_distance,neg_state_action_distance,action_conflict_risk,bad_neighbor_risk,positive_distance_risk,negative_neighbor_risk,safe_margin_score,source
lift_mg,Lift MG,primary,22,classifier_top320,bad-aware hard,320,238,82,276,1144,0.744,0.862,0.072,0.256,0.830,12.898,5.071,13.868,18.126,-0.289,-1.363,-0.764,-0.611,1.363,results/final_paper/splits/lift_mg_mg_sparse_split22/split_indices.json
lift_mg,Lift MG,primary,22,classifier_top480,bad-aware hard,480,260,220,276,1144,0.542,0.942,0.192,0.458,0.680,13.661,5.524,14.752,17.113,-0.218,-0.880,-0.534,-0.355,0.880,results/final_paper/splits/lift_mg_mg_sparse_split22/split_indices.json
lift_mg,Lift MG,primary,22,classifier_top80,bad-aware hard,80,77,3,276,1144,0.963,0.279,0.003,0.037,0.986,9.781,3.714,10.432,18.018,-0.279,-2.211,-1.660,-0.584,2.211,results/final_paper/splits/lift_mg_mg_sparse_split22/split_indices.json
lift_mg,Lift MG,primary,22,hybrid_filter_mid_mean_fill_classifier_to160,hybrid,160,144,16,276,1144,0.900,0.522,0.014,0.100,0.944,11.247,4.295,12.041,18.312,-0.320,-1.876,-1.241,-0.658,1.876,results/final_paper/splits/lift_mg_mg_sparse_split22/split_indices.json
lift_mg,Lift MG,primary,22,hybrid_filter_mid_mean_pos160,hybrid,121,110,11,276,1144,0.909,0.399,0.010,0.091,0.941,9.692,3.786,10.398,17.261,-0.211,-2.027,-1.669,-0.392,2.027,results/final_paper/splits/lift_mg_mg_sparse_split22/split_indices.json
lift_mg,Lift MG,primary,22,hybrid_filter_mid_minpos_maxneg_fill_classifier_to160,hybrid,160,144,16,276,1144,0.900,0.522,0.014,0.100,0.944,11.247,4.295,12.041,18.312,-0.320,-1.876,-1.241,-0.658,1.876,results/final_paper/splits/lift_mg_mg_sparse_split22/split_indices.json
lift_mg,Lift MG,primary,22,hybrid_filter_mid_minpos_maxneg_pos160,hybrid,121,110,11,276,1144,0.909,0.399,0.010,0.091,0.941,9.692,3.786,10.398,17.261,-0.211,-2.027,-1.669,-0.392,2.027,results/final_paper/splits/lift_mg_mg_sparse_split22/split_indices.json
lift_mg,Lift MG,primary,22,hybrid_filter_pos_min_fill_classifier_to160,hybrid,160,149,11,276,1144,0.931,0.540,0.010,0.069,0.958,11.670,4.369,12.461,18.988,-0.389,-1.941,-1.131,-0.829,1.941,results/final_paper/splits/lift_mg_mg_sparse_split22/split_indices.json
lift_mg,Lift MG,primary,22,hybrid_filter_pos_min_pos160,hybrid,105,101,4,276,1144,0.962,0.366,0.003,0.038,0.969,9.413,3.631,10.075,17.632,-0.230,-2.204,-1.753,-0.486,2.204,results/final_paper/splits/lift_mg_mg_sparse_split22/split_indices.json
lift_mg,Lift MG,primary,22,hybrid_filter_pos_p10_fill_classifier_to160,hybrid,160,150,10,276,1144,0.938,0.543,0.009,0.062,0.958,11.670,4.355,12.456,19.059,-0.397,-1.961,-1.132,-0.847,1.961,results/final_paper/splits/lift_mg_mg_sparse_split22/split_indices.json
